# Captura DAQ - 20260219_112925
# Fs=1000 Hz, Duracion=10 s, Dispositivo=Dev3/ai0
# Tiempo[s]	Amplitud[V]
1.041000	-0.372639
1.042000	-0.374569
1.043000	-0.375856
1.044000	-0.377786
1.045000	-0.378751
1.046000	-0.379394
1.047000	-0.378751
1.048000	-0.377464
1.049000	-0.375856
1.050000	-0.374891
1.051000	-0.373604
1.052000	-0.371673
1.053000	-0.370708
1.054000	-0.370387
1.055000	-0.368778
1.056000	-0.370387
1.057000	-0.370708
1.058000	-0.372639
1.059000	-0.373282
1.060000	-0.374247
1.061000	-0.376821
1.062000	-0.377464
1.063000	-0.377143
1.064000	-0.376177
1.065000	-0.374891
1.066000	-0.371673
1.067000	-0.369743
1.068000	-0.368778
1.069000	-0.367170
1.070000	-0.365239
1.071000	-0.365883
1.072000	-0.364274
1.073000	-0.365561
1.074000	-0.364918
1.075000	-0.365883
1.076000	-0.367170
1.077000	-0.369100
1.078000	-0.368135
1.079000	-0.368456
1.080000	-0.365883
1.081000	-0.365239
1.082000	-0.363309
1.083000	-0.360735
1.084000	-0.356875
1.085000	-0.354945
1.086000	-0.351728
1.087000	-0.349154
1.088000	-0.345937
1.089000	-0.344972
1.090000	-0.343042
1.091000	-0.341433
1.092000	-0.342398
1.093000	-0.341755
1.094000	-0.339825
1.095000	-0.338538
1.096000	-0.336607
1.097000	-0.333712
1.098000	-0.330173
1.099000	-0.327278
1.100000	-0.322131
1.101000	-0.316662
1.102000	-0.313445
1.103000	-0.309262
1.104000	-0.304437
1.105000	-0.301863
1.106000	-0.298324
1.107000	-0.296072
1.108000	-0.294786
1.109000	-0.292855
1.110000	-0.292534
1.111000	-0.290603
1.112000	-0.288030
1.113000	-0.283847
1.114000	-0.282239
1.115000	-0.277413
1.116000	-0.274196
1.117000	-0.270014
1.118000	-0.265188
1.119000	-0.261971
1.120000	-0.258111
1.121000	-0.255859
1.122000	-0.253607
1.123000	-0.252320
1.124000	-0.251998
1.125000	-0.251677
1.126000	-0.253285
1.127000	-0.253929
1.128000	-0.254894
1.129000	-0.255216
1.130000	-0.254894
1.131000	-0.254572
1.132000	-0.253285
1.133000	-0.252642
1.134000	-0.251033
1.135000	-0.251355
1.136000	-0.251355
1.137000	-0.250712
1.138000	-0.251677
1.139000	-0.253929
1.140000	-0.257467
1.141000	-0.261006
1.142000	-0.265832
1.143000	-0.268727
1.144000	-0.273231
1.145000	-0.277413
1.146000	-0.279665
1.147000	-0.282561
1.148000	-0.286421
1.149000	-0.286743
1.150000	-0.289316
1.151000	-0.290603
1.152000	-0.292212
1.153000	-0.293820
1.154000	-0.296394
1.155000	-0.299289
1.156000	-0.303150
1.157000	-0.308297
1.158000	-0.312801
1.159000	-0.317305
1.160000	-0.322131
1.161000	-0.326635
1.162000	-0.330173
1.163000	-0.334355
1.164000	-0.335642
1.165000	-0.337573
1.166000	-0.338216
1.167000	-0.341111
1.168000	-0.341433
1.169000	-0.341755
1.170000	-0.341433
1.171000	-0.343685
1.172000	-0.345615
1.173000	-0.348511
1.174000	-0.350441
1.175000	-0.354623
1.176000	-0.357840
1.177000	-0.360092
1.178000	-0.363309
1.179000	-0.365883
1.180000	-0.367491
1.181000	-0.367813
1.182000	-0.367491
1.183000	-0.366526
1.184000	-0.365883
1.185000	-0.365561
1.186000	-0.364596
1.187000	-0.364274
1.188000	-0.364596
1.189000	-0.365561
1.190000	-0.366204
1.191000	-0.368135
1.192000	-0.370065
1.193000	-0.371995
1.194000	-0.374247
1.195000	-0.376499
1.196000	-0.377143
1.197000	-0.377143
1.198000	-0.376821
1.199000	-0.373925
1.200000	-0.373925
1.201000	-0.372639
1.202000	-0.371352
1.203000	-0.370065
1.204000	-0.369100
1.205000	-0.369422
1.206000	-0.370065
1.207000	-0.371030
1.208000	-0.371673
1.209000	-0.373925
1.210000	-0.375856
1.211000	-0.376177
1.212000	-0.377143
1.213000	-0.377464
1.214000	-0.377786
1.215000	-0.376499
1.216000	-0.374891
1.217000	-0.373282
1.218000	-0.371673
1.219000	-0.371352
1.220000	-0.369422
1.221000	-0.368135
1.222000	-0.368456
1.223000	-0.369743
1.224000	-0.370708
1.225000	-0.372639
1.226000	-0.373282
1.227000	-0.376499
1.228000	-0.377464
1.229000	-0.377464
1.230000	-0.376821
1.231000	-0.377464
1.232000	-0.376499
1.233000	-0.375212
1.234000	-0.372639
1.235000	-0.371673
1.236000	-0.369422
1.237000	-0.368456
1.238000	-0.367813
1.239000	-0.368456
1.240000	-0.369743
1.241000	-0.371352
1.242000	-0.372960
